driver_id,total_fare,avg_distance
7,81.39,41.48
54,44.28,6.09
29,130.76,38.33
42,31.36,26.22
87,103.9,15.21
73,127.33,31.78
64,148.68,43.08
3,99.21,27.96
34,205.6,35.39
59,51.31,28.75
22,20.72,14.22
85,114.59,22.92
71,10.81,19.11
98,203.76,32.53333333333334
47,41.01,6.75
96,90.44,28.78
43,201.95999999999998,32.685
61,277.22,15.155000000000001
27,64.23,26.13
75,146.24,4.14
26,69.01,27.22
78,31.97,2.69
77,156.94,46.394999999999996
89,51.6,27.47
19,79.16,16.96
55,125.58,10.84
93,83.33,46.84
95,106.62,23.49
38,96.3,47.67
92,74.97,30.52
58,55.08,31.16
33,106.71,13.07
97,29.17,45.99
84,404.01,21.07
79,82.82,8.18
24,54.34,44.19
88,107.16,48.14
56,188.72,26.22
4,85.16,37.51
39,113.67,17.98
62,164.92000000000002,27.31
13,14.44,25.03
66,70.4,20.73
91,130.16,32.5
72,8.34,36.42
45,129.44,29.47
